cell_id	plate_id	well_id	plate_col	plate_row	sort_gate	sort_mode	sort_count	dna_library_id	dna_read_pairs	dna_unpaired_reads	dna_unmapped	dna_dups_pct	rna_library_id	ercc_frac	rna_counts	rna_features	source	timepoint
VZA01803.F13	VZA01803	F13	13	F	G1	Single Cell	1	VZA01803D_F13	287536	18067	25529	0.050929	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F14	VZA01803	F14	14	F	G1	Single Cell	1	VZA01803D_F14	297625	17281	24981	0.055161	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F15	VZA01803	F15	15	F	G1	Single Cell	1	VZA01803D_F15	471434	24223	35375	0.057981	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F16	VZA01803	F16	16	F	G1	Single Cell	1	VZA01803D_F16	394532	17507	26567	0.05665200000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F17	VZA01803	F17	17	F	G1	Single Cell	1	VZA01803D_F17	354175	18875	27669	0.05812200000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F18	VZA01803	F18	18	F	G1	Single Cell	1	VZA01803D_F18	551658	29277	42559	0.059471	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F19	VZA01803	F19	19	F	G1	Single Cell	1	VZA01803D_F19	297149	18246	29008	0.044761999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F20	VZA01803	F20	20	F	G1	Single Cell	1	VZA01803D_F20	508651	26026	38122	0.05137800000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F21	VZA01803	F21	21	F	non-G1	Single Cell	1	VZA01803D_F21	327121	20964	29816	0.046563999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F22	VZA01803	F22	22	F	non-G1	Single Cell	1	VZA01803D_F22	549173	27262	40534	0.05801300000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F23	VZA01803	F23	23	F	non-G1	Single Cell	1	VZA01803D_F23	350684	21380	31632	0.061317	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F24	VZA01803	F24	24	F	non-G1	Single Cell	1	VZA01803D_F24	355800	21643	31217	0.04219200000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G01	VZA01803	G01	1	G	G1	Single Cell	1	VZA01803D_G01	315686	14786	22280	0.05219900000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G02	VZA01803	G02	2	G	G1	Single Cell	1	VZA01803D_G02	232264	12171	18039	0.050350000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G03	VZA01803	G03	3	G	G1	Single Cell	1	VZA01803D_G03	218925	9570	14722	0.038038	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G04	VZA01803	G04	4	G	G1	Single Cell	1	VZA01803D_G04	369025	14760	23132	0.048721	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G05	VZA01803	G05	5	G	G1	Single Cell	1	VZA01803D_G05	136590	7024	10136	0.036316	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G06	VZA01803	G06	6	G	G1	Single Cell	1	VZA01803D_G06	290047	15470	22618	0.046146	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G07	VZA01803	G07	7	G	G1	Single Cell	1	VZA01803D_G07	49976	3990	5508	0.07123200000000002	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G08	VZA01803	G08	8	G	G1	Single Cell	1	VZA01803D_G08	325462	14888	22164	0.050453000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G09	VZA01803	G09	9	G	G1	Single Cell	1	VZA01803D_G09	175046	10636	15140	0.043701000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G10	VZA01803	G10	10	G	G1	Single Cell	1	VZA01803D_G10	368655	17469	25325	0.052845	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.G11	VZA01803	G11	11	G	G1	Single Cell	1	VZA01803D_G11	35	722	856	0.8724750000000001	NA	NA	NA	NA	X-ray 3Gy	96h
